   -0.209744496345520020E+02    0.395252516672997235-321
   -0.152310022115707397E+02    0.395252516672997235-321
   -0.164412560462951660E+02    0.395252516672997235-321
   -0.171342566013336182E+02    0.395252516672997235-321
   -0.153102225065231323E+02    0.395252516672997235-321
   -0.199382987022399902E+02    0.395252516672997235-321
   -0.157804205417633057E+02    0.395252516672997235-321
   -0.153021079301834106E+02    0.395252516672997235-321
   -0.160769405364990234E+02    0.395252516672997235-321
   -0.166098761558532715E+02    0.395252516672997235-321
   -0.186227531433105469E+02    0.395252516672997235-321
   -0.199206000566482544E+02    0.395252516672997235-321
   -0.204151915311813354E+02    0.395252516672997235-321
   -0.190455508232116699E+02    0.395252516672997235-321
   -0.164192079305648804E+02    0.395252516672997235-321
   -0.184870544672012329E+02    0.395252516672997235-321
   -0.197608623504638672E+02    0.395252516672997235-321
   -0.179080864191055298E+02    0.395252516672997235-321
   -0.200940155982971191E+02    0.395252516672997235-321
   -0.151665050983428955E+02    0.395252516672997235-321
   -0.157472119331359863E+02    0.395252516672997235-321
   -0.194887794256210327E+02    0.395252516672997235-321
   -0.206890382766723633E+02    0.395252516672997235-321
   -0.161340808868408203E+02    0.395252516672997235-321
   -0.199547413587570190E+02    0.395252516672997235-321
   -0.196702369451522827E+02    0.395252516672997235-321
   -0.167499536275863647E+02    0.395252516672997235-321
   -0.171742075681686401E+02    0.395252516672997235-321
   -0.168764415979385376E+02    0.395252516672997235-321
   -0.150557878017425537E+02    0.395252516672997235-321
   -0.150613163709640503E+02    0.395252516672997235-321
   -0.164530724287033081E+02    0.395252516672997235-321
   -0.163816341161727905E+02    0.395252516672997235-321
   -0.190791081190109253E+02    0.395252516672997235-321
   -0.178950687646865845E+02    0.395252516672997235-321
   -0.200439577102661133E+02    0.395252516672997235-321
   -0.201828092336654663E+02    0.395252516672997235-321
   -0.176071615219116211E+02    0.395252516672997235-321
   -0.197020736932754517E+02    0.395252516672997235-321
   -0.169535479545593262E+02    0.395252516672997235-321
   -0.191368367671966553E+02    0.395252516672997235-321
   -0.190588903427124023E+02    0.395252516672997235-321
   -0.188167347908020020E+02    0.395252516672997235-321
   -0.164465600252151489E+02    0.395252516672997235-321
   -0.155895577669143677E+02    0.395252516672997235-321
   -0.170923697948455811E+02    0.395252516672997235-321
   -0.187792682647705078E+02    0.395252516672997235-321
   -0.165624629259109497E+02    0.395252516672997235-321
   -0.164440598487854004E+02    0.395252516672997235-321
   -0.178986350297927856E+02    0.395252516672997235-321
   -0.155084356069564819E+02    0.395252516672997235-321
   -0.165623352527618408E+02    0.395252516672997235-321
   -0.209040348529815674E+02    0.395252516672997235-321
   -0.167724083662033081E+02    0.395252516672997235-321
   -0.203954794406890869E+02    0.395252516672997235-321
   -0.182796921730041504E+02    0.395252516672997235-321
   -0.186113001108169556E+02    0.395252516672997235-321
   -0.181588525772094727E+02    0.395252516672997235-321
   -0.173298336267471313E+02    0.395252516672997235-321
   -0.195299012660980225E+02    0.395252516672997235-321
   -0.170879101753234863E+02    0.395252516672997235-321
   -0.151770114898681641E+02    0.395252516672997235-321
   -0.190744367837905884E+02    0.395252516672997235-321
   -0.160635169744491577E+02    0.395252516672997235-321
   -0.182992426156997681E+02    0.395252516672997235-321
   -0.180985046625137329E+02    0.395252516672997235-321
   -0.168435105085372925E+02    0.395252516672997235-321
   -0.188549276590347290E+02    0.395252516672997235-321
   -0.204764363765716553E+02    0.395252516672997235-321
   -0.157414609193801880E+02    0.395252516672997235-321
   -0.169398196935653687E+02    0.395252516672997235-321
   -0.165373349189758301E+02    0.395252516672997235-321
   -0.162770100831985474E+02    0.395252516672997235-321
   -0.188916370868682861E+02    0.395252516672997235-321
   -0.157866969108581543E+02    0.395252516672997235-321
   -0.174372929334640503E+02    0.395252516672997235-321
   -0.172087311744689941E+02    0.395252516672997235-321
   -0.163867628574371338E+02    0.395252516672997235-321
   -0.179960728883743286E+02    0.395252516672997235-321
   -0.175021909475326538E+02    0.395252516672997235-321
   -0.180291491746902466E+02    0.395252516672997235-321
   -0.201522080898284912E+02    0.395252516672997235-321
   -0.159390367269515991E+02    0.395252516672997235-321
   -0.207136116027832031E+02    0.395252516672997235-321
   -0.203839023113250732E+02    0.395252516672997235-321
   -0.204727746248245239E+02    0.395252516672997235-321
   -0.166115859746932983E+02    0.395252516672997235-321
   -0.197357486486434937E+02    0.395252516672997235-321
   -0.152085396051406860E+02    0.395252516672997235-321
   -0.187062807083129883E+02    0.395252516672997235-321
   -0.186523493528366089E+02    0.395252516672997235-321
   -0.165887414216995239E+02    0.395252516672997235-321
   -0.208461205959320068E+02    0.395252516672997235-321
   -0.203550993204116821E+02    0.395252516672997235-321
   -0.165661654472351074E+02    0.395252516672997235-321
   -0.203674113750457764E+02    0.395252516672997235-321
   -0.206237261295318604E+02    0.395252516672997235-321
   -0.168502274751663208E+02    0.395252516672997235-321
   -0.205701184272766113E+02    0.395252516672997235-321
   -0.202979679107666016E+02    0.395252516672997235-321
   -0.162421517372131348E+02    0.395252516672997235-321
   -0.160592104196548462E+02    0.395252516672997235-321
   -0.166848614215850830E+02    0.395252516672997235-321
   -0.205912270545959473E+02    0.395252516672997235-321
   -0.177779985666275024E+02    0.395252516672997235-321
   -0.160757585763931274E+02    0.395252516672997235-321
   -0.172566676139831543E+02    0.395252516672997235-321
   -0.196370862722396851E+02    0.395252516672997235-321
   -0.165469386577606201E+02    0.395252516672997235-321
   -0.205326923131942749E+02    0.395252516672997235-321
